Species	Symbol	Ensembl	Family	Protein	Entrez ID
Canis_familiaris	MBD3	ENSCAFG00000019503	MBD	ENSCAFP00000028838;	485080
Canis_familiaris	GLI4	ENSCAFG00000029287	zf-C2H2	ENSCAFP00000037369;	100684283
Canis_familiaris	-	ENSCAFG00000030317	zf-C2H2	ENSCAFP00000040326;	484934
Canis_familiaris	TBX1	ENSCAFG00000014503	T-box	ENSCAFP00000021398;	-
Canis_familiaris	-	ENSCAFG00000031469	zf-C2H2	ENSCAFP00000039158;	100686484
Canis_familiaris	MYT1L	ENSCAFG00000003240	zf-C2HC	ENSCAFP00000004814;	482954
Canis_familiaris	GFI1B	ENSCAFG00000019877	zf-C2H2	ENSCAFP00000029447;	491281
Canis_familiaris	ARID1B	ENSCAFG00000000608	ARID	ENSCAFP00000000859;	-
Canis_familiaris	SMAD6	ENSCAFG00000017332	MH1	ENSCAFP00000025538;	487612
Canis_familiaris	BCL11B	ENSCAFG00000017809	zf-C2H2	ENSCAFP00000026270;	612476
Canis_familiaris	GLIS2	ENSCAFG00000019227	zf-C2H2	ENSCAFP00000028355;	490028
Canis_familiaris	ZNF252	ENSCAFG00000031252	zf-C2H2	ENSCAFP00000002451;	403421
Canis_familiaris	CIC	ENSCAFG00000004858	HMG	ENSCAFP00000007261;	-
Canis_familiaris	ZNF24	ENSCAFG00000023988	zf-C2H2	ENSCAFP00000026414;	480162
Canis_familiaris	ZNF214	ENSCAFG00000006709	zf-C2H2	ENSCAFP00000010001;	485363
Canis_familiaris	CREB3L2	ENSCAFG00000013481	TF_bZIP	ENSCAFP00000019853;	491369
Canis_familiaris	KLF14	ENSCAFG00000024771	zf-C2H2	ENSCAFP00000033964;	482254
Canis_familiaris	ZNF32	ENSCAFG00000032307	zf-C2H2	ENSCAFP00000041501;	486784
Canis_familiaris	-	ENSCAFG00000010717	SAND	ENSCAFP00000015767;	-
Canis_familiaris	-	ENSCAFG00000031771	THAP	ENSCAFP00000039578;ENSCAFP00000041900;	-
Canis_familiaris	HMGB2	ENSCAFG00000007851	HMG	ENSCAFP00000011606;	486068
Canis_familiaris	FOXA1	ENSCAFG00000013743	Fork_head	ENSCAFP00000020254;	-
Canis_familiaris	ZNF484	ENSCAFG00000029327	zf-C2H2	ENSCAFP00000036601;	484217
Canis_familiaris	THAP3	ENSCAFG00000019625	THAP	ENSCAFP00000029023;	607727
Canis_familiaris	-	ENSCAFG00000032317	Homeobox	ENSCAFP00000041595;	-
Canis_familiaris	TFCP2	ENSCAFG00000007831	CP2	ENSCAFP00000011612;	477607
Canis_familiaris	ZNF524	ENSCAFG00000030962	zf-C2H2	ENSCAFP00000036180;	100687132
Canis_familiaris	POU3F4	ENSCAFG00000017368	Pou	ENSCAFP00000025584;	491988
Canis_familiaris	ARNT	ENSCAFG00000012149	bHLH	ENSCAFP00000018081;ENSCAFP00000039580;	-
Canis_familiaris	ZNF174	ENSCAFG00000028614	zf-C2H2	ENSCAFP00000037887;	490035
Canis_familiaris	GTF2I	ENSCAFG00000011514	GTF2I	ENSCAFP00000017265;	479714
Canis_familiaris	ZMIZ1	ENSCAFG00000015669	zf-MIZ	ENSCAFP00000023060;	489063
Canis_familiaris	ZNF317	ENSCAFG00000018071	zf-C2H2	ENSCAFP00000026750;	484975
Canis_familiaris	PLAGL2	ENSCAFG00000031042	zf-C2H2	ENSCAFP00000041523;	485829
Canis_familiaris	-	ENSCAFG00000032314	zf-C2H2	ENSCAFP00000041861;	100684862
Canis_familiaris	REST	ENSCAFG00000002254	zf-C2H2	ENSCAFP00000022285;ENSCAFP00000003276;	482163
Canis_familiaris	HMX2	ENSCAFG00000012699	Homeobox	ENSCAFP00000018667;	486925
Canis_familiaris	GBX2	ENSCAFG00000012148	Homeobox	ENSCAFP00000017900;	486174
